date,open,high,low,close,pct_change,volume,ln_return
2011-10-12,1196.19,1220.25,1196.19,1207.25,0.0098,5355360000,0.00974708
2011-10-11,1194.6,1199.24,1187.3,1195.54,0.0005,4424500000,0.000543835
2011-10-10,1158.15,1194.91,1158.15,1194.89,0.0341,4446800000,0.033555598
2011-10-07,1165.03,1171.4,1150.26,1155.46,-0.0082,5580380000,-0.008196803
2011-10-06,1144.11,1165.55,1134.95,1164.97,0.0183,5098330000,0.018138219
2011-10-05,1124.03,1146.07,1115.68,1144.03,0.0179,2510620000,0.01770785
2011-10-04,1097.42,1125.12,1074.77,1123.95,0.0225,3714670000,0.022239332
2011-10-03,1135.21,1138.99,1098.92,1099.23,-0.0285,5670340000,-0.028863546
2011-09-30,1159.93,1159.93,1131.34,1131.42,-0.025,4416790000,-0.025291292
2011-09-29,1151.74,1175.87,1139.93,1160.4,0.0081,5285740000,0.008081516
2011-09-28,1175.39,1184.71,1150.4,1151.06,-0.0207,4787920000,-0.020908243
2011-09-27,1163.32,1195.86,1163.32,1175.38,0.0107,5548130000,0.010631619
2011-09-26,1136.91,1164.19,1131.07,1162.95,0.0233,4762830000,0.023068111
2011-09-23,1128.82,1141.72,1121.36,1136.43,0.0061,5639930000,0.006063593
2011-09-22,1164.55,1164.55,1114.22,1129.56,-0.0319,6703140000,-0.0324025
2011-09-21,1203.63,1206.3,1166.21,1166.76,-0.0294,4728550000,-0.029831032
2011-09-20,1204.5,1220.39,1201.29,1202.09,-0.0017,4315610000,-0.001662386
2011-09-19,1214.99,1214.99,1188.36,1204.09,-0.0098,4254190000,-0.009850912
2011-09-16,1209.21,1220.06,1204.46,1216.01,0.0057,5248890000,0.005690455
2011-09-15,1189.44,1209.11,1189.44,1209.11,0.0172,4479730000,0.017041104
2011-09-14,1173.32,1202.38,1162.73,1188.68,0.0135,4986740000,0.013389711
2011-09-13,1162.59,1176.41,1157.44,1172.87,0.0091,4681370000,0.009078747
2011-09-12,1153.5,1162.52,1136.07,1162.27,0.007,5168550000,0.006941534
2011-09-09,1185.37,1185.37,1148.37,1154.23,-0.0267,4586370000,-0.027068525
2011-09-08,1197.98,1204.4,1183.34,1185.9,-0.0106,4465170000,-0.010668915
2011-09-07,1165.85,1198.62,1165.85,1198.62,0.0286,4441040000,0.028243821
2011-09-06,1173.97,1173.97,1140.13,1165.24,-0.0074,5103980000,-0.007464093
2011-09-02,1203.9,1203.9,1170.56,1173.97,-0.0253,4401740000,-0.025606956
2011-09-01,1219.12,1229.29,1203.85,1204.42,-0.0119,4780410000,-0.011942485
2011-08-31,1213,1230.71,1209.35,1218.89,0.0049,5267840000,0.004909933
2011-08-30,1209.76,1220.1,1195.77,1212.92,0.0023,4572570000,0.002344202
2011-08-29,1177.91,1210.28,1177.91,1210.08,0.0283,4228070000,0.027887583
2011-08-26,1158.85,1181.23,1135.91,1176.8,0.0151,5035320000,0.015008394
2011-08-25,1176.69,1190.68,1155.47,1159.27,-0.0156,5748420000,-0.015687972
2011-08-24,1162.16,1178.56,1156.3,1177.6,0.0131,5315310000,0.013034651
2011-08-23,1124.36,1162.35,1124.36,1162.35,0.0343,5013170000,0.033710222
2011-08-22,1123.55,1145.49,1121.09,1123.82,0.0003,5436260000,0.000258082
2011-08-19,1140.47,1154.54,1122.05,1123.53,-0.015,5167560000,-0.015122761
2011-08-18,1189.62,1189.62,1131.03,1140.65,-0.0446,3234810000,-0.045618608
2011-08-17,1192.89,1208.47,1184.36,1193.89,0.0009,4388340000,0.000946934
2011-08-16,1204.22,1204.22,1180.53,1192.76,-0.0097,5071600000,-0.009786291
2011-08-15,1178.86,1204.49,1178.86,1204.49,0.0218,4272850000,0.021550786
2011-08-12,1172.87,1189.04,1170.74,1178.81,0.0053,5640380000,0.005247838
2011-08-11,1121.3,1186.29,1121.3,1172.64,0.0463,3685050000,0.045250591
2011-08-10,1171.77,1171.77,1118.01,1120.76,-0.0442,5018070000,-0.045156781
2011-08-09,1120.23,1172.88,1101.54,1172.53,0.0474,2366660000,0.046317381
2011-08-08,1198.48,1198.48,1119.28,1119.46,-0.0666,2615150000,-0.06895833
2011-08-05,1200.28,1218.11,1168.09,1199.38,-0.0006,5454590000,-0.000575132
2011-08-04,1260.23,1260.23,1199.54,1200.07,-0.0478,4266530000,-0.049001637
2011-08-03,1254.25,1261.2,1234.56,1260.34,0.005,6446940000,0.005003212
2011-08-02,1286.56,1286.56,1254.03,1254.05,-0.0256,5206290000,-0.025888994
2011-08-01,1292.59,1307.38,1274.73,1286.94,-0.0041,4967390000,-0.004140793
2011-07-29,1300.12,1304.16,1282.86,1292.28,-0.0065,5061190000,-0.006471416
